length,aa_entropy,instability,gravy,isoelectric_point,low_complex,max_homopolymer,helix_sheet,id,model
122,3.935970692419418,40.449180327868845,-0.01147540983606553,4.58135929107666,0.0,3,2.0357142857142856,CheY-like_superfamily_000|CheY-like,ProLLaMA
150,4.020133024083977,36.488066666666654,-0.2159999999999999,5.1369035720825185,0.0,2,1.864864864864865,CheY-like_superfamily_001|CheY-like,ProLLaMA
213,4.0123622931592475,47.139906103286386,-0.046478873239436655,5.57939510345459,0.0,3,2.4186046511627906,CheY-like_superfamily_002|CheY-like,ProLLaMA
183,3.763079349222303,39.49234972677595,-0.27978142076502754,5.371648597717285,0.0,3,2.6052631578947367,CheY-like_superfamily_003|CheY-like,ProLLaMA
172,3.9108181490123415,54.094767441860455,-0.28720930232558134,5.409901237487793,0.0,4,3.103448275862069,CheY-like_superfamily_004|CheY-like,ProLLaMA
117,3.6057088286559336,44.49316239316238,0.23931623931623947,6.083102226257323,0.0,2,3.263157894736842,CheY-like_superfamily_005|CheY-like,ProLLaMA
238,4.0156678035350435,57.19495798319324,-0.2756302521008404,6.368433952331543,0.0,2,2.38,CheY-like_superfamily_006|CheY-like,ProLLaMA
129,3.7239942025241297,49.8798449612403,-0.031007751937984482,4.507184410095214,0.0,2,3.5238095238095237,CheY-like_superfamily_007|CheY-like,ProLLaMA
118,3.7748552673019624,43.21186440677965,-0.5652542372881355,10.264285469055174,0.0,3,3.0454545454545454,CheY-like_superfamily_008|CheY-like,ProLLaMA
189,3.9089052054716658,40.01481481481481,-0.12116402116402106,4.8048501968383786,0.0,3,3.3125,CheY-like_superfamily_009|CheY-like,ProLLaMA
121,3.893665652481943,56.08264462809917,0.17603305785123977,4.482914161682129,0.0,3,2.3076923076923075,CheY-like_superfamily_010|CheY-like,ProLLaMA
183,3.791336449320813,23.021311475409817,-0.7049180327868857,9.046542167663574,0.0,2,3.76,CheY-like_superfamily_011|CheY-like,ProLLaMA
188,3.9119943947966784,34.593617021276586,0.003191489361702179,8.77590389251709,0.0,2,1.9772727272727273,CheY-like_superfamily_012|CheY-like,ProLLaMA
130,3.8173250257930174,26.00230769230769,0.005384615384615383,5.076256370544432,0.0,3,2.75,CheY-like_superfamily_013|CheY-like,ProLLaMA
140,3.8346763309213463,58.78071428571427,-0.0714285714285714,5.193174171447752,0.0,2,4.529411764705882,CheY-like_superfamily_014|CheY-like,ProLLaMA
123,3.9309429418222717,32.29756097560975,-0.21056910569105677,4.64007396697998,0.0,2,2.5833333333333335,CheY-like_superfamily_015|CheY-like,ProLLaMA
131,3.964673184017572,55.04656488549617,-0.0801526717557252,5.075290107727049,0.0,3,1.8709677419354838,CheY-like_superfamily_016|CheY-like,ProLLaMA
247,4.041998509067574,40.557894736842094,-0.547368421052632,8.976593971252441,0.0,2,2.5,CheY-like_superfamily_017|CheY-like,ProLLaMA
129,4.002815523551602,46.032558139534885,-0.19224806201550373,5.431102180480956,0.0,3,2.1785714285714284,CheY-like_superfamily_018|CheY-like,ProLLaMA
212,3.9842244568011664,38.39905660377357,-0.2165094339622641,4.735392951965332,0.0,3,2.255813953488372,CheY-like_superfamily_019|CheY-like,ProLLaMA
