id,pLDDT
CheY-like_superfamily_002|CheY-like,0.944
CheY-like_superfamily_014|CheY-like,0.759
CheY-like_superfamily_027|CheY-like,0.833
CheY-like_superfamily_031|CheY-like,0.888
CheY-like_superfamily_032|CheY-like,0.766
CheY-like_superfamily_033|CheY-like,0.658
CheY-like_superfamily_049|CheY-like,0.883
CheY-like_superfamily_055|CheY-like,0.679
CheY-like_superfamily_057|CheY-like,0.705
CheY-like_superfamily_062|CheY-like,0.743
CheY-like_superfamily_087|CheY-like,0.78
CheY-like_superfamily_091|CheY-like,0.704
CheY-like_superfamily_093|CheY-like,0.711
CheY-like_superfamily_095|CheY-like,0.768
CheY-like_superfamily_097|CheY-like,0.645
CheY-like_superfamily_103|CheY-like,0.928
CheY-like_superfamily_109|CheY-like,0.79
CheY-like_superfamily_114|CheY-like,0.824
CheY-like_superfamily_147|CheY-like,0.8
ProtGPT2_CheY-like_superfamily_005|CheY-like,0.284
ProtGPT2_CheY-like_superfamily_007|CheY-like,0.828
ProtGPT2_CheY-like_superfamily_017|CheY-like,0.275
ProtGPT2_CheY-like_superfamily_029|CheY-like,0.829
ProtGPT2_CheY-like_superfamily_032|CheY-like,0.875
ProtGPT2_CheY-like_superfamily_043|CheY-like,0.858
ProtGPT2_CheY-like_superfamily_047|CheY-like,0.395
ProtGPT2_CheY-like_superfamily_062|CheY-like,0.587
ProtGPT2_CheY-like_superfamily_063|CheY-like,0.517
ProtGPT2_CheY-like_superfamily_074|CheY-like,0.37
ProtGPT2_CheY-like_superfamily_077|CheY-like,0.438
ProtGPT2_CheY-like_superfamily_083|CheY-like,0.395
ProtGPT2_CheY-like_superfamily_099|CheY-like,0.658
ProtGPT2_CheY-like_superfamily_100|CheY-like,0.408
ProtGPT2_CheY-like_superfamily_110|CheY-like,0.619
ProtGPT2_CheY-like_superfamily_120|CheY-like,0.495
ProtGPT2_CheY-like_superfamily_122|CheY-like,0.32
ProtGPT2_CheY-like_superfamily_128|CheY-like,0.303
ProtGPT2_CheY-like_superfamily_130|CheY-like,0.558
ProtGPT2_CheY-like_superfamily_142|CheY-like,0.58
ProtGPT2_CheY-like_superfamily_149|CheY-like,0.495
ProtGPT2_Thioredoxin-like_superfamily_005|Thioredoxin-like,0.544
ProtGPT2_Thioredoxin-like_superfamily_008|Thioredoxin-like,0.523
ProtGPT2_Thioredoxin-like_superfamily_029|Thioredoxin-like,0.688
ProtGPT2_Thioredoxin-like_superfamily_050|Thioredoxin-like,0.401
ProtGPT2_Thioredoxin-like_superfamily_058|Thioredoxin-like,0.461
ProtGPT2_Thioredoxin-like_superfamily_060|Thioredoxin-like,0.79
ProtGPT2_Thioredoxin-like_superfamily_061|Thioredoxin-like,0.862
ProtGPT2_Thioredoxin-like_superfamily_067|Thioredoxin-like,0.482
ProtGPT2_Thioredoxin-like_superfamily_068|Thioredoxin-like,0.519
ProtGPT2_Thioredoxin-like_superfamily_075|Thioredoxin-like,0.291
ProtGPT2_Thioredoxin-like_superfamily_085|Thioredoxin-like,0.42
ProtGPT2_Thioredoxin-like_superfamily_094|Thioredoxin-like,0.37
ProtGPT2_Thioredoxin-like_superfamily_105|Thioredoxin-like,0.397
ProtGPT2_Thioredoxin-like_superfamily_108|Thioredoxin-like,0.31
ProtGPT2_Thioredoxin-like_superfamily_115|Thioredoxin-like,0.732
ProtGPT2_Thioredoxin-like_superfamily_116|Thioredoxin-like,0.674
ProtGPT2_Thioredoxin-like_superfamily_133|Thioredoxin-like,0.488
ProtGPT2_Thioredoxin-like_superfamily_135|Thioredoxin-like,0.434
ProtGPT2_Thioredoxin-like_superfamily_146|Thioredoxin-like,0.351
Thioredoxin-like_superfamily_000|Thioredoxin-like,0.39
Thioredoxin-like_superfamily_001|Thioredoxin-like,0.527
Thioredoxin-like_superfamily_010|Thioredoxin-like,0.467
Thioredoxin-like_superfamily_023|Thioredoxin-like,0.498
Thioredoxin-like_superfamily_027|Thioredoxin-like,0.637
Thioredoxin-like_superfamily_028|Thioredoxin-like,0.516
Thioredoxin-like_superfamily_029|Thioredoxin-like,0.385
Thioredoxin-like_superfamily_040|Thioredoxin-like,0.529
Thioredoxin-like_superfamily_054|Thioredoxin-like,0.415
Thioredoxin-like_superfamily_060|Thioredoxin-like,0.542
Thioredoxin-like_superfamily_068|Thioredoxin-like,0.415
Thioredoxin-like_superfamily_078|Thioredoxin-like,0.495
Thioredoxin-like_superfamily_085|Thioredoxin-like,0.456
Thioredoxin-like_superfamily_096|Thioredoxin-like,0.385
Thioredoxin-like_superfamily_108|Thioredoxin-like,0.58
Thioredoxin-like_superfamily_109|Thioredoxin-like,0.359
Thioredoxin-like_superfamily_111|Thioredoxin-like,0.386
Thioredoxin-like_superfamily_135|Thioredoxin-like,0.804
Thioredoxin-like_superfamily_139|Thioredoxin-like,0.534
Thioredoxin-like_superfamily_143|Thioredoxin-like,0.338
Thioredoxin-like_superfamily_145|Thioredoxin-like,0.352
