id,model,keep
CheY-like_superfamily_027|CheY-like,ProLLaMA,True
Thioredoxin-like_superfamily_085|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_108|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_054|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_000|Thioredoxin-like,ProLLaMA,True
CheY-like_superfamily_049|CheY-like,ProLLaMA,True
Thioredoxin-like_superfamily_023|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_109|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_111|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_068|Thioredoxin-like,ProLLaMA,True
CheY-like_superfamily_147|CheY-like,ProLLaMA,True
CheY-like_superfamily_062|CheY-like,ProLLaMA,True
CheY-like_superfamily_095|CheY-like,ProLLaMA,True
Thioredoxin-like_superfamily_135|Thioredoxin-like,ProLLaMA,True
CheY-like_superfamily_103|CheY-like,ProLLaMA,True
Thioredoxin-like_superfamily_001|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_028|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_143|Thioredoxin-like,ProLLaMA,True
Thioredoxin-like_superfamily_096|Thioredoxin-like,ProLLaMA,True
CheY-like_superfamily_057|CheY-like,ProLLaMA,True
CheY-like_superfamily_014|CheY-like,ProLLaMA,False
CheY-like_superfamily_109|CheY-like,ProLLaMA,False
Thioredoxin-like_superfamily_145|Thioredoxin-like,ProLLaMA,False
CheY-like_superfamily_031|CheY-like,ProLLaMA,False
Thioredoxin-like_superfamily_040|Thioredoxin-like,ProLLaMA,False
Thioredoxin-like_superfamily_060|Thioredoxin-like,ProLLaMA,False
Thioredoxin-like_superfamily_029|Thioredoxin-like,ProLLaMA,False
Thioredoxin-like_superfamily_078|Thioredoxin-like,ProLLaMA,False
CheY-like_superfamily_097|CheY-like,ProLLaMA,False
Thioredoxin-like_superfamily_139|Thioredoxin-like,ProLLaMA,False
CheY-like_superfamily_087|CheY-like,ProLLaMA,False
Thioredoxin-like_superfamily_010|Thioredoxin-like,ProLLaMA,False
CheY-like_superfamily_032|CheY-like,ProLLaMA,False
CheY-like_superfamily_091|CheY-like,ProLLaMA,False
CheY-like_superfamily_093|CheY-like,ProLLaMA,False
CheY-like_superfamily_114|CheY-like,ProLLaMA,False
Thioredoxin-like_superfamily_027|Thioredoxin-like,ProLLaMA,False
CheY-like_superfamily_033|CheY-like,ProLLaMA,False
CheY-like_superfamily_002|CheY-like,ProLLaMA,False
CheY-like_superfamily_055|CheY-like,ProLLaMA,False
ProtGPT2_CheY-like_superfamily_005|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_060|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_074|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_116|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_063|CheY-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_062|CheY-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_043|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_133|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_017|CheY-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_142|CheY-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_032|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_105|Thioredoxin-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_085|Thioredoxin-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_108|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_029|CheY-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_128|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_005|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_120|CheY-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_067|Thioredoxin-like,ProtGPT2,True
ProtGPT2_Thioredoxin-like_superfamily_008|Thioredoxin-like,ProtGPT2,True
ProtGPT2_CheY-like_superfamily_007|CheY-like,ProtGPT2,False
